,가게명,메인메뉴,지역(구),구체적 위치,후기,x,y,카테고리1
0,카페몽글 신도림,"카페, 스터디카페",구로구,서울특별시 구로구 구로동 30-23,"조용한, 반려동물동반",126.890865117894,37.5048324657209,카페
1,히어로스터 신도림점,"초코타르트, 카페",구로구,서울특별시 구로구 신도림동 382-2,"조용한, 야외테라스, 반려동물동반",126.884643985608,37.5084429166587,카페
2,나이스카페인클럽 구디,"카페, 커피",구로구,서울특별시 구로구 구로동 811,"저렴, 반려동물동반",126.899259271333,37.4842969723245,카페
3,식껍 디지털단지역점,"고깃집, 삼겹살",구로구,서울특별시 구로구 구로동 811,"점심특선, 점심식사, 저녁식사, 셀프바, 반려동물동반, 주차",126.899259271333,37.4842969723245,음식점
4,더치앤빈 구로디지털단지,"카페, 더치커피",구로구,서울특별시 구로구 구로동 170-11,"편안한, 반려동물동반, 주차, 배달",126.894775511849,37.4871315093842,카페
5,아씨펍 크래프트 신도림,맥주,구로구,서울특별시 구로구 구로동 26,"편안한분위기, 셀프바, 반려동물동반, 주차",126.891648310229,37.5056956285862,음식점
6,랑데자뷰 NC구로점,"크로플, 카페",구로구,서울특별시 구로구 구로동 573,"한옥집, 놀이방, 주차",126.882839257848,37.5011765181321,카페
7,폴리 개봉,"크로플, 카페",구로구,서울특별시 구로구 개봉동 278-25,"숲속, 테이크아웃, 반려동물동반, 반려동물동반",126.857370748494,37.4882756575998,카페
8,품격사시미 구디,"횟집, 사시미",구로구,서울특별시 구로구 구로동 1124-83 품격사시미,"가성비좋은, 저녁식사, 야외테라스, 반려동물동반",126.900494193303,37.4842847740095,음식점
9,다과정 구로역,"카페, 풀빵",구로구,서울특별시 구로구 구로동 612-13,"아늑한카페, 테이크아웃, 바테이블, 배달",126.877763044789,37.5050584908232,카페
10,멜로우 밀 구로구,"카페, 디저트",구로구,서울특별시 구로구 항동 22-5,"쾌적한, 테이크아웃, 야외테라스, 반려동물동반, 주차, 배달",126.821173186329,37.4828641593073,카페
11,배스킨라빈스 신도림,"아이스크림, 아이스바",구로구,서울특별시 구로구 신도림동 337,"크리스마스, 반려동물동반, 주차, 배달",126.887743559932,37.5094208797108,카페
12,면부심 파스타 구로금천점,"파스타, 크림파스타",구로구,서울특별시 구로구 가리봉동 136-78,"푸짐한, 점심식사, 저녁식사, 반려동물동반, 주차, 배달",126.893049773982,37.4790835051944,음식점
13,칠공주떡볶이 구로시장,"떡볶이, 밀키트",구로구,서울특별시 구로구 구로동 733-28,"원조, 반려동물동반, 주차, 배달",126.88480382587,37.4894324807168,음식점
14,푸른달 남구로역,"카페, 블루베리스무디",구로구,서울특별시 구로구 구로동 170-1,"분위기좋은, 반려동물동반, 주차, 배달",126.892405872085,37.4889644572105,카페
15,싱싱샐러드 구로점,"샐러드, 연어포케",구로구,서울특별시 구로구 구로동 197-48,"푸짐한, 점심식사, 저녁식사, 셀프바, 바자리, 배달",126.893284327287,37.4844394920251,음식점
16,황소부추곱창 개봉동,"곱창, 부추곱창",구로구,서울특별시 구로구 개봉동 348-7,"국내산, 반려동물동반, 주차",126.855790162105,37.4869581781697,음식점
17,오뎅포차 신도림,"오뎅, 포차",구로구,서울 구로구 구로동 26 신도림포스빌,"반려동물동반, 주차",126.891648310229,37.5056956285862,음식점
18,12NOI 오류동,"카페, 젤라또",구로구,서울특별시 구로구 오류동 289-3,"예쁜, 반려동물동반, 제로페이, 주차",126.831484328101,37.4869582663784,카페
19,한상곱창 구로역,"불닭발, 매운쭈꾸미",구로구,서울특별시 구로구 구로동 512-65,"반려동물동반, 주차",126.885399955309,37.4984579928755,음식점
20,아인스커피 구로구청,"커피, 카페",구로구,서울특별시 구로구 구로동 103,"예쁜, 반려동물동반",126.889256380537,37.4960587778004,카페
21,카페숲 오류동,"카페, 수목원카페",구로구,서울특별시 구로구 오류동 254-2,"분위기좋은, 반려동물동반, 주차, 배달",126.831208797675,37.4884064219912,카페
22,태니스피자펍 고척동,"피자, 피자펍",구로구,서울특별시 구로구 고척동 52-221,"쾌적한, 반려동물동반",126.865951212784,37.5011790145069,음식점
23,그린프루츠 신도림,샐러드,구로구,서울특별시 구로구 신도림동 337,"푸짐한, 테이크아웃, 반려동물동반, 주차, 배달",126.887743559932,37.5094208797108,음식점
24,템트커피 개봉동,"커피, 카페",구로구,서울특별시 구로구 개봉동 288-17,"감성적인, 테이크아웃, 반려동물동반, 반려동물동반, 제로페이, 주차",126.85721078108,37.4872503884088,카페
25,해피케이크샵 구로구,"케이크, 레터링케이크",구로구,서울특별시 구로구 항동 100-5,"크리스마스, 반려동물동반, 주차",126.820274314632,37.4815962489099,카페
26,아리스타커피 구로구,"커피, 샌드위치",구로구,서울특별시 구로구 구로동 103-1,"정원, 주차, 배달",126.889382921856,37.496134941285,카페
27,담꾹 구로천왕점,"닭볶음탕, 부대찌개",구로구,서울특별시 구로구 천왕동 278,"저렴, 반려동물동반, 제로페이, 주차, 배달",126.84016859489,37.4825290874428,음식점
28,오르막커피아카데미 하남미사,"커피, 라떼",구로구,서울특별시 구로구 개봉동 342-28,"예쁜, 테이크아웃, 주차, 배달",126.852867878016,37.4897797730388,카페
29,"남자, 커피를 말하다 구로구","커피, 카페",구로구,서울특별시 구로구 구로동 1274,"깔끔한, 테이크아웃, 반려동물동반",126.896643712778,37.479457829213,카페
30,육회지존 개봉역점,"육회, 육사시미",구로구,서울특별시 구로구 개봉동 202-15,"저렴한술집, 반려동물동반, 발렛파킹, 배달",126.858823412692,37.493907162989,음식점
31,오류골뱅이 오류동,"골뱅이, 골뱅이탕",구로구,서울특별시 구로구 오류동 64-28,"럭셔리, 반려동물동반",126.847192281833,37.4956963251832,음식점
32,CAFE SOO 구로구,"카페, 디저트",구로구,서울특별시 구로구 오류동 193-17 양지아파트,"조용한, 반려동물동반, 주차",126.839066559934,37.4909664251424,카페
33,마프라오 오류동,"카페, 커피",구로구,서울특별시 구로구 오류동 283-8,"쾌적한분위기, 정원, 주차",126.832316849411,37.487216508214,카페
34,쑤다방 가리봉,"카페, 다방",구로구,서울특별시 구로구 가리봉동 134-31,"아늑한카페, 테이크아웃, 반려동물동반, 반려동물동반, 배달",126.89266032536,37.4804017784287,카페
35,씬(scene) 오류동,"카페, 도넛커피",구로구,서울특별시 구로구 오류동 24-17,"빈티지, 테이크아웃, 야외테라스, 정원",126.842887658269,37.4972102250806,카페
36,시월의과자점 개봉동,"디저트, 과자점",구로구,서울특별시 구로구 개봉동 115-4,"크리스마스, 반려동물동반, 제로페이, 배달",126.846140662433,37.5047096078391,카페
37,말랑한날 온수역,"케이크, 플라워케이크",구로구,서울특별시 구로구 온수동 5-12,"예쁜, 테이크아웃, 반려동물동반, 제로페이, 주차, 배달",126.824739695074,37.4958222850574,카페
38,카페정원 구로구,"카페, 크로플",구로구,서울특별시 구로구 가리봉동 125-8,"정원, 배달",126.888579324108,37.4806211803202,카페
39,더벤티 항동SKV1점,카페,구로구,서울특별시 구로구 항동 산51-1,"반려동물동반, 제로페이, 주차",126.816306977721,37.4773012590159,카페
40,다운타우너 청담점,"버거, 아보카도버거",강남구,서울특별시 강남구 신사동 666-25,"캐주얼한, 점심식사, 저녁식사, 발렛, 셀프바, 발렛파킹",127.038558061015,37.5240481464448,음식점
41,까폼 신사동,"태국음식, 푸팟퐁커리",강남구,서울특별시 강남구 신사동 655-15,"캐주얼한, 점심식사, 저녁식사, 발렛, 발렛파킹, 배달",127.037995569644,37.5248824767007,음식점
42,구테로이테 강남구청역,"에스프레소, 에스프레소바",강남구,서울특별시 강남구 논현동 112-19 1층 구테로이테,"예쁜, 테이크아웃, 주차, 배달",127.038689527844,37.5177229731451,카페
43,카페 노티드 청담,"도넛, 우유",강남구,서울특별시 강남구 신사동 654-9,"예쁜, 점심식사, 테이크아웃, 발렛, 발렛파킹, 배달",127.039651433308,37.5176548986912,카페
44,라 브리크 강남역,브런치,강남구,서울특별시 강남구 역삼동 619-10,"예쁜, 점심식사, 야외테라스, 정원, 반려동물동반",127.038302584861,37.5241953632628,카페
45,새들러 하우스 가로수길,"크로플, 와플",강남구,서울특별시 강남구 신사동 561-8,"예쁜, 점심식사, 테이크아웃, 발렛, 발렛파킹",127.027915590313,37.5023845161503,카페
46,크라이치즈버거 삼성역점,"버거, 치즈버거",강남구,서울특별시 강남구 대치동 996-17,"가성비좋은, 점심식사, 저녁식사, 테이크아웃, 야외자리, 셀프바",127.024929370262,37.5194075005189,음식점
47,달마시안 압구정,"라자냐, 브런치카페",강남구,서울특별시 강남구 신사동 634-17,"이국적/이색적, 점심식사, 저녁식사, 야외테라스, 발렛, 정원",127.065286260932,37.5090518078941,카페
48,Small Batch Seoul 도산공원,"커피, 땅콩",강남구,서울특별시 강남구 신사동 634-8,"캐주얼한, 테이크아웃, 야외자리, 로스터리",127.034520136348,37.5262391014126,카페
49,겟썸커피 신사동,"커피, 스콘",강남구,서울특별시 강남구 신사동 551-32,"예쁜, 반려동물동반, 반려동물동반",127.034085382131,37.5259934343144,카페
50,a.ga gelato 가로수길,"아이스크림, 디저트카페",강남구,서울 강남구 신사동 564-3,"예쁜, 테이크아웃",127.024458428587,37.5224416361608,카페
51,펠트커피 도산공원점,"커피, 카페",강남구,서울특별시 강남구 신사동 645-21,"캐주얼한, 정원, 발렛파킹",127.027087824339,37.5216872835046,카페
52,남산터 청담,"부대찌개, 베이컨",강남구,서울특별시 강남구 청담동 87,"캐주얼한, 점심식사, 저녁식사, 24시간영업, 반려동물동반, 발렛파킹",127.035435407453,37.5256394837393,음식점
53,돌곰네 논현동,"문어, 돌문어",강남구,서울특별시 강남구 논현동 105,"서민적인, 점심식사, 저녁식사, 셀프코너, 반려동물동반, 발렛파킹",127.040343181638,37.5240367381401,음식점
54,어도 논현동,"일식, 사시미",강남구,서울시 강남구 논현동 98-12,"고급스러운, 점심식사, 저녁식사, 발렛가능, 발렛, 룸식",127.036575387431,37.5193540121054,음식점
55,천장지구 압구정,"카페, 붕어빵",강남구,서울 강남구 논현동 93-15 2층,"캐주얼한, 반려동물동반, 제로페이",127.036095252922,37.5204072521637,카페
56,뉴욕라츠오베이글스 압구정,"베이글, 크림치즈",강남구,서울특별시 강남구 신사동 642-6,"캐주얼한, 아침식사, 점심식사, 저녁식사, 야외테라스, 발렛",127.038349858257,37.5221802557701,카페
57,포레스트 청담,"레스토랑, 브런치",강남구,"서울특별시 강남구 신사동 666-10 1, 2, 3층","예쁜, 점심식사, 저녁식사, 야외테라스, 발렛, 발렛파킹",127.036636828798,37.5267934810124,카페
58,탬파 압구정점,"맥주, 샌드위치",강남구,서울특별시 강남구 신사동 635-4,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 배달",127.038980522301,37.5239252011414,음식점
59,라나이 압구정,"양식, 파스타",강남구,서울특별시 강남구 신사동 660-14,"분위기좋은, 점심식사, 저녁식사, 발렛, 발렛파킹, 배달",127.034025372846,37.5266283877703,음식점
60,꽁티드툴레아 신사동,"브런치카페, 브런치",강남구,서울특별시 강남구 신사동 646-21,"예쁜, 점심식사, 저녁식사, 발렛가능, 야외테라스, 발렛",127.037714855996,37.5279387655815,카페
61,맘마미아 압구정,"카페, 디저트",강남구,서울특별시 강남구 신사동 645-26,"예쁜, 점심식사, 저녁식사, 발렛가능, 야외테라스, 발렛",127.0369069345,37.5255461397417,카페
62,위트앤미트 강남점,"샌드위치, 커피",강남구,서울특별시 강남구 역삼동 616-4,"캐주얼한, 점심식사, 저녁식사, 발렛, 셀프바, 반려동물동반",127.034643522394,37.5259124520246,카페
63,마츄피츄 강남구청역,"마카롱, 말차",강남구,서울특별시 강남구 논현동 254-22,"깔끔한, 반려동물동반, 배달",127.027462901463,37.5036831515798,카페
64,미트앤번버거샵 강남점,"버거, 수제버거",강남구,서울특별시 강남구 역삼동 709,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 무료주차, 배달",127.041023502775,37.5136727146898,음식점
65,겟썸커피 강남역,"커피, 스콘",강남구,서울특별시 강남구 역삼동 812-3,"예쁜, 점심식사, 반려동물동반",127.027251308629,37.5030834912667,카페
66,티티엠 학동역,"카페, 스콘",강남구,서울특별시 강남구 논현동 85-11,"고급스러운, 야외테라스, 정원, 발렛파킹, 배달",127.034292966656,37.5160917131274,카페
67,인딕슬로우 가로수길,"인도음식, 커리",강남구,서울특별시 강남구 신사동 525-4,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 반려동물동반, 야외좌석(테라스)",127.020317964331,37.5219077659984,음식점
68,Cuisson82 양재천,프랑스음식,강남구,서울시 강남구 도곡2동 453-16,"깔끔한, 점심식사, 저녁식사, 반려동물동반, 무료주차",127.04475944624,37.4816946406519,음식점
69,도리도리 압구정로데오역,닭볶음탕,강남구,서울특별시 강남구 신사동 661-18 정동상가 1층,"점심특선, 반려동물동반",127.038609968797,37.5277467431576,음식점
70,바오밥나무커피 가로수길점,"커피, 바오",강남구,서울특별시 강남구 신사동 561-8 2층,"예쁜, 점심식사, 테이크아웃, 반려동물동반",127.024929370262,37.5194075005189,카페
71,502커피 로스터스 역삼,"커피, 로스",강남구,서울특별시 강남구 역삼동 736-1 아크플레이스 1층,"캐주얼한, 테이크아웃, 주차",127.034898308484,37.4997200069753,카페
72,에이엔아더 강남구청역,"휘낭시에, 카페",강남구,서울특별시 강남구 논현동 116-7,"깔끔한, 테이크아웃, 바자리, 반려동물동반",127.037430259635,37.5162501481341,카페
73,문어랑 선릉역,"문어, 뭉티기",강남구,서울특별시 강남구 역삼동 699,"맛있는안주, 저녁식사, 칸막이, 반려동물동반, 주차, 배달",127.042531117617,37.5054440272558,음식점
74,PEEK 양재천,"카페, 갤러리카페",강남구,서울특별시 강남구 개포동 1250-3,"숲속, 정원, 바자리",127.046831111801,37.4804749527946,카페
75,돈그리아 선릉역,"고깃집, 목살",강남구,서울특별시 강남구 대치동 897-9,"시끌벅적한, 점심식사, 저녁식사, 반려동물동반",127.050621265051,37.5028142264441,음식점
76,모터시티바이매니멀 역삼점 역삼,"피자, 피맥",강남구,서울특별시 강남구 역삼동 736-1,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 무료주차",127.034898308484,37.4997200069753,음식점
77,정월 강남역,"카페, 말차",강남구,서울특별시 강남구 역삼동 618-21,"예쁜, 테이크아웃, 야외테라스, 정원",127.02859486655,37.5036713501231,카페
78,장생건강원 영동시장,"칵테일, 술집",강남구,서울특별시 강남구 논현동 145-12,"깔끔한, 저녁식사, 바자리, 주차",127.024521009633,37.5093774303501,음식점
79,티하우스 청담 청담,"애프터눈티, 티하우스",강남구,서울특별시 강남구 삼성동 57-11,"예쁜, 점심식사, 테이크아웃, 반려동물동반, 주차, 배달",127.054697289004,37.5189456132352,음식점
80,몽브루 북한산,"카페, 커피",강북구,서울특별시 강북구 수유동 535-73,"예쁜, 야외테라스, 주차",127.003927564855,37.6437059241185,카페
81,티틸 수유,"카페, 디저트",강북구,서울특별시 강북구 수유동 221-21,"깔끔한, 점심식사, 저녁식사, 좌식테이블, 테이크아웃, 반려동물동반",127.022940479685,37.639217667394,카페
82,수유리조트 수유역,"크로플, 카페",강북구,서울 강북구 수유동 221-18,"예쁜, 정원, 반려동물동반",127.023345914208,37.6400889302057,카페
83,도너리비해피 미아사거리,"도넛, 카페",강북구,서울특별시 강북구 미아동 54-38,"다이어트카페, 반려동물동반, 바테이블, 제로페이, 배달",127.031760561897,37.6139102392397,카페
84,개나리산장 북한산,"포차, 백숙",강북구,서울특별시 강북구 우이동 260-10,"가족끼리, 점심식사, 반려동물동반, 반려동물동반, 발렛파킹",126.998060211326,37.6556496774466,음식점
85,선운각 우이동,"모나카, 한옥카페",강북구,서울특별시 강북구 우이동 265-16 선운각,"경관/야경이좋은, 발렛, 정원, 좌식, 주차",126.999376716312,37.6550149496779,카페
86,신라의닭발 미아사거리,"닭발, 국물닭발",강북구,서울특별시 강북구 미아동 35-20,"서민적인, 저녁식사, 좌식테이블, 무료주차, 배달",127.030435986603,37.6125761338317,음식점
87,화수브루어리 서울강북점,"수제맥주, 브루어리",강북구,서울특별시 강북구 수유동 521-55,"깔끔한, 저녁식사, 테이크아웃, 야외테라스, 반려동물동반",127.011993006195,37.6402666828753,음식점
88,시골쌈밥 북한산,"쌈밥, 된장",강북구,서울특별시 강북구 우이동 165-5,"서민적인, 아침식사, 점심식사, 저녁식사, 셀프바, 주차",127.011098364264,37.6622807577342,음식점
89,도베르 수유역,"카페, 크로플",강북구,서울특별시 강북구 수유동 192-13,"예쁜, 야외테라스, 반려동물동반",127.02461707739,37.6394997882131,카페
90,오성리 수유,"카페, 치즈케이크",강북구,서울특별시 강북구 수유동 482-34,"크리스마스, 좌식테이블, 반려동물동반, 배달",127.017480267059,37.6293558741004,카페
91,헤미앤바우어419카페 수유,"브런치, 카페",강북구,서울 강북구 수유동 563-94,"분위기좋은, 아침식사, 점심식사, 야외테라스, 셀프바, 반려동물동반",127.006815964524,37.6459064459442,카페
92,비미남경 미아역,"카페, 커피",강북구,서울특별시 강북구 미아동 318-6,"인스타감성, 테이크아웃, 반려동물동반",127.02671155217,37.6220838120886,카페
93,미아회관 미아사거리,"고깃집, 냉삼",강북구,서울특별시 강북구 미아동 55-20,"국내산, 점심식사, 저녁식사, 좌식, 반려동물동반, 배달",127.031341665145,37.6129713407755,음식점
94,경계선 수유,"카페, 와플",강북구,서울특별시 강북구 수유동 516-62,"예쁜, 야외테라스, 정원, 반려동물동반, 무료주차",127.00710612817,37.6385127709285,카페
95,카페멘디 수유,"카페, 브런치",강북구,서울특별시 강북구 수유동 582-12,"예쁜, 점심식사, 저녁식사, 야외테라스, 정원, 반려동물동반",127.008760298056,37.6472052657873,카페
96,깃든 미아사거리,"해물탕, 해물",강북구,서울특별시 강북구 미아동 54-188,"숨은맛집, 점심식사, 저녁식사, 반려동물동반, 주차, 배달",127.031691416301,37.6132448776634,음식점
97,제이제곱 미아사거리,"카페, 파운드케익",강북구,서울특별시 강북구 미아동 54-46,"예쁜, 반려동물동반, 반려동물동반",127.031527546828,37.6138265097759,카페
98,블랙다운커피 덕성여대,"커피, 카페",강북구,서울특별시 강북구 우이동 72-83,"아늑한분위기, 테이크아웃",127.013602114585,37.6501802143675,카페
99,와라이 미아사거리역,"이자카야, 술집",강북구,서울특별시 강북구 미아동 54-51,"캐주얼한, 저녁식사, 반려동물동반, 제로페이, 배달",127.031195111604,37.6137979466814,음식점
100,데어유고 미아사거리역,"카페, 커피",강북구,서울특별시 강북구 미아동 52-68,"차분한, 테이크아웃, 반려동물동반, 바테이블, 배달",127.032854055668,37.6130246283506,카페
101,에이머그 수유,"카페, 크로플",강북구,서울특별시 강북구 수유동 2-2,"예쁜, 테이크아웃, 반려동물동반, 주차",127.022630889657,37.6375468506233,카페
102,담꾹 수유시장점,"소고기국밥, 안동찜닭",강북구,서울시 강북구 미아동 217-1,"깔끔한, 점심식사, 저녁식사, 반려동물동반, 주차, 배달",127.023529855132,37.6305543057497,음식점
103,숲속에바다 우이동계곡,"삼겹살, 해물찜",강북구,서울특별시 강북구 우이동 299-2,"경관/야경이좋은, 점심식사, 저녁식사, 놀이방, 야외테라스, 반려동물동반",127.007292801882,37.6716708036342,음식점
104,J's Park 수유,브런치,강북구,서울특별시 강북구 수유동 535-117,"분위기좋은, 야외테라스, 정원, 반려동물동반, 주차, 배달",127.00501932906,37.6444499153743,카페
105,하루당 미아역,"카페, 디저트카페",강북구,서울시 강북구 미아동 304-25,"조용한, 테이크아웃, 야외테라스, 반려동물동반, 반려동물동반, 배달",127.02562217621,37.6259945179806,카페
106,초원 우이동,닭볶음탕,강북구,서울특별시 강북구 수유동 21-6,"자연친화적, 점심식사, 저녁식사, 야외자리",127.028678172223,37.6437735915745,음식점
107,카페얼롱 수유,"카페, 스콘",강북구,서울특별시 강북구 수유동 167-74,"분위기좋은, 테이크아웃, 배달",127.031223629448,37.6159073334629,카페
108,비원하프 미아사거리,"카페, 디저트",강북구,서울특별시 강북구 미아동 90-39,"예쁜, 반려동물동반",127.008005866759,37.6461768465276,카페
109,모모떡볶이 수유,"떡볶이, 까페",강북구,서울특별시 강북구 수유동 564-2,"점심식사, 저녁식사, 반려동물동반, 주차, 배달",127.004578585657,37.6430226843387,음식점
110,물꼬기 수유,"지라시스시, 일식집",강북구,서울 강북구 수유동 535-82,"조용한, 저녁식사, 정원, 바자리, 주차",127.006523173171,37.671845368505,음식점
111,소귀골백운산장 우이동,"오리로스, 더덕불고기",강북구,서울특별시 강북구 우이동 297,"놀이방, 주차",127.010715096926,37.6467365028482,음식점
112,노르웨이안 우드 수유,"카페, 스콘",강북구,서울특별시 강북구 수유동 569-59,"숲속, 정원, 반려동물동반, 배달",127.027262211257,37.6206224645707,카페
113,유월보름 미아동,"카페, 마들렌",강북구,서울특별시 강북구 미아동 323-51,"서민적인, 테이크아웃, 반려동물동반, 배달",127.023161781358,37.6396669452621,카페
114,헤이호미 수유,"카페, 소금빵",강북구,서울특별시 강북구 수유동 221-36,"캐주얼한, 반려동물동반, 배달",127.010702653166,37.6468795801827,카페
115,크림앤버터 수유동,"젤라또, 쿠키",강북구,서울특별시 강북구 수유동 569-60 지하1층,"반려동물동반, 배달",127.00626449471,37.6622391277677,카페
116,초가집 북한산,"백숙, 엄나무닭백숙",강북구,서울특별시 강북구 우이동 252,"가족끼리, 개별룸, 야외자리, 좌식, 주차",127.027150382341,37.6261479746933,음식점
117,카페문나잇 미아,"카페, 레터링케이크",강북구,서울특별시 강북구 미아동 121-47,"크리스마스, 점심식사, 반려동물동반, 배달",127.005188926678,37.6734033187634,카페
118,한일산장 우이동계곡,한정식,강북구,서울특별시 강북구 우이동 산79,"운치있는, 점심식사, 저녁식사, 발렛, 바깥자리",127.019877209369,37.6372040713596,음식점
119,스윗솔트 강동구,브런치,강동구,서울특별시 강동구 명일동 222-3,"경관/야경이좋은, 아침식사, 점심식사, 저녁식사, 반려동물동반, 반려동물동반",127.130899512304,37.5236405117307,카페
120,WAAAH 성내동,브런치,강동구,서울특별시 강동구 성내동 448-18 올림픽파크플러스 105호,"존맛, 반려동물동반",127.142810417452,37.5528046796292,카페
121,아름다운제주돈 명일동,"고깃집, 흑돼지",강동구,서울특별시 강동구 명일동 312-19,"오빠랑, 포장가능, 셀프바, 연탄불, 주차, 배달",127.146867039793,37.5655835796748,음식점
122,스테이지28 고덕,"레스토랑, 스테이크",강동구,서울특별시 강동구 고덕동 405-4,"예쁜, 점심식사, 저녁식사, 놀이방, 무료주차",127.130412302134,37.5510693768895,음식점
123,카페공공장소 암사,"카페, 다방",강동구,서울특별시 강동구 암사동 497-7,"지역주민이찾는, 반려동물동반, 반려동물동반, 주차, 배달",127.133740392895,37.5255865561012,카페
124,램니쿠야 강동구,"양고기, 양갈비",강동구,서울특별시 강동구 성내동 438-13,"다양한반찬, 점심식사, 저녁식사, 바테이블, 주차, 배달",127.131663675649,37.5262811289762,음식점
125,미드데이 썬 성내동,"카페, 수플레",강동구,서울특별시 강동구 성내동 432-4,"예쁜, 테이크아웃, 반려동물동반, 무료주차",127.132451482721,37.524923429808,카페
126,썸이프 강동구,"카페, 라떼",강동구,서울특별시 강동구 성내동 438-4,"모던한분위기, 반려동물동반, 주차",127.123992202683,37.5324594874958,카페
127,하다식당 강동구,돈까스,강동구,서울특별시 강동구 성내동 126-4,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 주차",127.12543945184,37.5398107501458,음식점
128,대팔이네 천호,"곱창, 곱창전골",강동구,서울특별시 강동구 천호동 427-9,"불맛, 저녁식사, 반려동물동반, 배달",127.135836937251,37.5335391007378,음식점
129,카페 온도 성내동,"카페, 디저트",강동구,서울특별시 강동구 성내동 245-39,"깔끔한, 반려동물동반",127.123817147966,37.5344263749708,카페
130,헤르츠 로그 천호,"카페, 바나나푸딩",강동구,서울특별시 강동구 성내동 118-32,테이크아웃,127.155804493467,37.5519802341278,카페
131,Manos Coffee 고덕,"커피, 카페",강동구,서울특별시 강동구 명일동 48-17 한화오벨리스크스위트 105호 마노스커피,"엔틱한, 테이크아웃, 반려동물동반, 주차",127.140679070856,37.5354458047373,카페
132,스탬핑그라운드 길동,"카페, 디저트",강동구,서울특별시 강동구 길동 408-18,"분위기좋은, 테이크아웃, 반려동물동반, 주차, 배달",127.13112718279,37.5301393624709,카페
133,스태리 성내동,"카페, 계란빵",강동구,서울특별시 강동구 성내동 420-11,"아늑한카페, 야외테라스, 주차, 배달",127.132286285762,37.5330415444782,카페
134,오두커피 강동역,"커피, 오렌지",강동구,서울특별시 강동구 성내동 500,"분위기좋은, 반려동물동반, 주차",127.139674087048,37.5446404341564,카페
135,바빌 강동구,"카페, 커피",강동구,서울특별시 강동구 천호동 47-22,"반려동물동반, 주차, 배달",127.128097903354,37.5398110498001,카페
136,솔리 천호,"카페, 한천",강동구,서울특별시 강동구 천호동 409-35,"예쁜, 반려동물동반, 배달",127.138487538243,37.5456271636904,카페
137,철인7호 천호점,"치킨, 떡",강동구,서울특별시 강동구 천호동 21-208,"반려동물동반, 배달",127.142026275051,37.544041257485,음식점
138,카페 헤엄 굽은다리역,"카페, 샌드위치",강동구,서울특별시 강동구 천호동 45-2,"예쁜, 테이크아웃, 바테이블, 주차, 배달",127.126970398024,37.5386281738727,카페
139,아이스베리 천호,"빙수, 요거트빙수",강동구,서울특별시 강동구 천호동 454-64 2층,"시끌벅적한, 반려동물동반, 배달",127.143505186397,37.5518131906387,카페
140,오늘와인한잔 명일점,"술집, 와인",강동구,서울특별시 강동구 명일동 312-60,"분위기좋은, 반려동물동반, 배달",127.122675235284,37.5392762078356,음식점
141,카페 윤슬 천호,"카페, 스콘",강동구,서울특별시 강동구 천호동 456-9,"인스타감성, 반려동물동반",127.134522645031,37.526011390922,카페
142,보성갈비 성내동,"돼지갈비, 갈비",강동구,서울특별시 강동구 성내동 429-8,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 주차",127.173115972466,37.5481397674109,음식점
143,미츠커피앤바 상일동,"커피, 카페",강동구,서울특별시 강동구 상일동 341-5,"예쁜, 테이크아웃, 야외테라스, 바자리",127.133605124505,37.5535705803694,카페
144,평상시 암사동,"비건, 카페",강동구,서울특별시 강동구 암사동 458-67,"예쁜, 테이크아웃, 정원, 주차",127.129120675048,37.5356183949184,카페
145,아이아오 성내동,"카페, 커피",강동구,서울특별시 강동구 성내동 21-1,"예쁜, 점심식사, 반려동물동반, 주차",127.14352913456,37.5520266078267,카페
146,Cafe Napal 명일역,카페,강동구,서울특별시 강동구 명일동 312-55,"깔끔한, 야외테라스, 정원, 배달",127.127100652964,37.5540369094746,카페
147,두콩 암사,"카페, 콜팝",강동구,서울특별시 강동구 암사동 508,"반려동물동반, 주차",127.154073198436,37.5520654877796,카페
148,프롬투커피 명일,"커피, 아메리카노",강동구,서울특별시 강동구 명일동 48-12,"주민추천, 반려동물동반",127.126049513968,37.5485907843319,카페
149,카페 뉴 암사동,"커피, 카페",강동구,서울 강동구 암사동 513-9,"예쁜, 반려동물동반",127.146796340059,37.5647403359161,카페
150,스테이지28 웁시데이지 강동구,"레모네이드, 애견카페",강동구,서울특별시 강동구 고덕동 407-2,"자연친화적, 점심식사, 반려동물동반, 주차",127.128412264578,37.5374541438476,카페
151,뭉스벨리 천호,"대게, 애견카페",강동구,서울특별시 강동구 천호동 452,"넓은실내, 반려동물동반, 주차",127.172767320546,37.5496599906737,카페
152,포로이 상일동,"베트남음식, 월남쌈",강동구,서울특별시 강동구 상일동 268-3,"푸짐한, 점심식사, 저녁식사, 반려동물동반, 주차, 배달",127.131316636185,37.5276597771682,음식점
153,커피 코너칼럼 성내동,"커피, 수플레",강동구,서울특별시 강동구 성내동 423-37,"감성적인, 반려동물동반, 주차",127.149855333924,37.5631548852099,카페
