,가게명,메인메뉴,지역(구),구체적 위치,후기,x,y,카테고리1
829,더베이커스테이블 이태원,"브런치, 수프",용산구,서울특별시 용산구 이태원동 691,"이국적/이색적, 아침식사, 점심식사, 저녁식사, 반려동물동반, 야외좌석(테라스)",126.98746714482,37.5394493642832,카페
830,바바라스 키친 한남동,"bar, 짜장떡볶이",용산구,서울특별시 용산구 한남동 685-13,"캐주얼한, 점심식사, 저녁식사, 반려동물동반",127.000566730375,37.534977732121,음식점
831,카페시바 숙대입구역,"비건, 비건식당",용산구,서울특별시 용산구 남영동 72-2,"이국적/이색적, 점심식사, 저녁식사, 칸막이, 배달",126.972880036769,37.5429680224249,음식점
832,쿼츠 삼각지역,"카페, 라떼",용산구,서울특별시 용산구 한강로1가 245-5,"깔끔한, 테이크아웃",126.971889384809,37.5329800223377,카페
833,wet coffee 한남동,"커피, 도넛",용산구,서울특별시 용산구 한남동 729-18 지하,"깔끔한, 테이크아웃",127.003137436529,37.5376130283855,카페
834,남산케미스트리 이태원,"맥주, 수제맥주",용산구,서울특별시 용산구 이태원동 225-5,"캐주얼한, 점심식사, 저녁식사, 반려동물동반",126.990378764594,37.5398223811236,음식점
835,타파코파 삼각지,"스페인음식, 타파스",용산구,서울특별시 용산구 한강로1가 231-12,"캐주얼한, 저녁식사, 콜키지, 바자리, 반려동물동반",126.973220960471,37.5325570414743,음식점
836,로리스피자 용산,"피자, 맥주",용산구,서울특별시 용산구 한강로2가 342,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 주차, 배달",126.967363197885,37.5382765617916,음식점
837,AUZ 용산,"브런치, 프렌치토스트",용산구,서울특별시 용산구 원효로1가 133-3,"캐주얼한, 아침식사, 점심식사, 반려동물동반, 무료주차, 배달",126.989172759623,37.5347253173242,카페
838,중국가정식 장강중류 이태원,"갈비탕, 중국가정식",용산구,서울특별시 용산구 이태원동 454-1,"이국적/이색적, 저녁식사, 예약필수, 반려동물동반, 배달",126.978905408982,37.546149599817,음식점
839,플러피클라우드 후암동,"카페, 피클",용산구,서울특별시 용산구 후암동 255-14 대경빌딩 2층,"깔끔한, 점심식사, 저녁식사, 반려동물동반",126.991827152183,37.5339887824437,카페
