,Unnamed: 0,가게명,메인메뉴,지역(구),구체적 위치,후기,x,y,카테고리1
19,19,라나이 압구정,"양식, 파스타",강남구,서울특별시 강남구 신사동 660-14,"분위기좋은, 점심식사, 저녁식사, 발렛, 발렛파킹, 배달",127.034025372846,37.5266283877703,음식점
20,20,꽁티드툴레아 신사동,"브런치카페, 브런치",강남구,서울특별시 강남구 신사동 646-21,"예쁜, 점심식사, 저녁식사, 발렛가능, 야외테라스, 발렛",127.037714855996,37.5279387655815,카페
21,21,맘마미아 압구정,"카페, 디저트",강남구,서울특별시 강남구 신사동 645-26,"예쁜, 점심식사, 저녁식사, 발렛가능, 야외테라스, 발렛",127.0369069345,37.5255461397417,카페
22,22,위트앤미트 강남점,"샌드위치, 커피",강남구,서울특별시 강남구 역삼동 616-4,"캐주얼한, 점심식사, 저녁식사, 발렛, 셀프바, 반려동물동반",127.034643522394,37.5259124520246,카페
23,23,마츄피츄 강남구청역,"마카롱, 말차",강남구,서울특별시 강남구 논현동 254-22,"깔끔한, 반려동물동반, 배달",127.027462901463,37.5036831515798,카페
24,24,미트앤번버거샵 강남점,"버거, 수제버거",강남구,서울특별시 강남구 역삼동 709,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 무료주차, 배달",127.041023502775,37.5136727146898,음식점
25,25,겟썸커피 강남역,"커피, 스콘",강남구,서울특별시 강남구 역삼동 812-3,"예쁜, 점심식사, 반려동물동반",127.027251308629,37.5030834912667,카페
26,26,티티엠 학동역,"카페, 스콘",강남구,서울특별시 강남구 논현동 85-11,"고급스러운, 야외테라스, 정원, 발렛파킹, 배달",127.034292966656,37.5160917131274,카페
27,27,인딕슬로우 가로수길,"인도음식, 커리",강남구,서울특별시 강남구 신사동 525-4,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 반려동물동반, 야외좌석(테라스)",127.020317964331,37.5219077659984,음식점
28,28,Cuisson82 양재천,프랑스음식,강남구,서울시 강남구 도곡2동 453-16,"깔끔한, 점심식사, 저녁식사, 반려동물동반, 무료주차",127.04475944624,37.4816946406519,음식점
29,29,도리도리 압구정로데오역,닭볶음탕,강남구,서울특별시 강남구 신사동 661-18 정동상가 1층,"점심특선, 반려동물동반",127.038609968797,37.5277467431576,음식점
